user_id,session_date,group,device,traffic_source,time_on_page_sec,converted,revenue
U008890,2026-02-12,Treatment,Mobile,Social,89.0,0,0.0
U022702,2026-02-28,Control,Mobile,Organic,75.4,0,0.0
U014211,2026-02-18,Control,Mobile,Paid,130.3,1,75.3
U024751,2026-03-02,Control,Mobile,Direct,77.5,0,0.0
U003875,2026-02-06,Treatment,Mobile,Direct,21.3,0,0.0
U002857,2026-02-05,Treatment,Tablet,Organic,70.2,0,0.0
U000521,2026-02-02,Treatment,Desktop,Paid,54.6,0,0.0
U005738,2026-02-08,Control,Tablet,Paid,183.1,1,66.18
U009885,2026-02-13,Control,Desktop,Direct,129.1,0,0.0
U002582,2026-02-05,Treatment,Mobile,Paid,106.3,0,0.0
U020895,2026-02-26,Treatment,Mobile,Direct,65.9,0,0.0
U002152,2026-02-04,Treatment,Mobile,Organic,86.5,1,51.31
U014484,2026-02-18,Control,Mobile,Organic,125.2,0,0.0
U010540,2026-02-14,Treatment,Mobile,Organic,58.0,0,0.0
U018992,2026-02-24,Treatment,Desktop,Organic,103.5,0,0.0
U001375,2026-02-03,Treatment,Desktop,Direct,71.4,0,0.0
U006911,2026-02-10,Control,Mobile,Organic,94.9,0,0.0
U019914,2026-02-25,Control,Mobile,Organic,126.3,0,0.0
U013442,2026-02-17,Treatment,Mobile,Organic,37.4,0,0.0
U000239,2026-02-02,Treatment,Mobile,Social,53.8,0,0.0
U015403,2026-02-20,Control,Desktop,Social,97.8,0,0.0
U017180,2026-02-22,Treatment,Desktop,Organic,90.4,0,0.0
U005631,2026-02-08,Treatment,Desktop,Direct,107.6,0,0.0
U016467,2026-02-21,Control,Desktop,Paid,111.7,1,37.38
U004066,2026-02-06,Control,Tablet,Organic,169.5,0,0.0
U006333,2026-02-09,Control,Desktop,Paid,99.8,0,0.0
U025121,2026-03-03,Treatment,Mobile,Paid,142.5,0,0.0
U004054,2026-02-06,Treatment,Desktop,Direct,101.2,0,0.0
U021067,2026-02-26,Treatment,Desktop,Social,126.1,0,0.0
U004176,2026-02-06,Control,Desktop,Organic,159.5,0,0.0
U005504,2026-02-08,Control,Mobile,Organic,157.2,0,0.0
U023115,2026-03-01,Control,Mobile,Paid,83.8,0,0.0
U003924,2026-02-06,Control,Mobile,Paid,154.8,0,0.0
U017815,2026-02-22,Control,Mobile,Paid,84.6,0,0.0
U009859,2026-02-13,Control,Mobile,Paid,107.9,0,0.0
U008654,2026-02-12,Treatment,Mobile,Paid,110.2,0,0.0
U000045,2026-02-02,Treatment,Tablet,Organic,81.3,0,0.0
U000209,2026-02-02,Treatment,Mobile,Social,132.9,0,0.0
U006861,2026-02-10,Control,Mobile,Organic,124.5,0,0.0
U009615,2026-02-13,Control,Mobile,Organic,143.9,0,0.0
U008262,2026-02-11,Treatment,Mobile,Paid,83.6,0,0.0
U003644,2026-02-06,Control,Mobile,Direct,88.2,0,0.0
U023752,2026-03-01,Control,Mobile,Direct,118.3,0,0.0
U019138,2026-02-24,Control,Mobile,Direct,112.7,0,0.0
U016431,2026-02-21,Treatment,Desktop,Email,118.1,1,185.79
U006605,2026-02-09,Control,Mobile,Organic,85.0,0,0.0
U006275,2026-02-09,Control,Mobile,Organic,140.2,0,0.0
U017167,2026-02-22,Control,Mobile,Social,125.5,0,0.0
U020545,2026-02-26,Treatment,Mobile,Paid,133.5,1,51.2
U003299,2026-02-05,Control,Desktop,Social,92.8,0,0.0
U013404,2026-02-17,Treatment,Desktop,Social,91.2,0,0.0
U013927,2026-02-18,Control,Desktop,Organic,166.1,0,0.0
U013524,2026-02-17,Control,Desktop,Paid,96.6,0,0.0
U005994,2026-02-09,Treatment,Desktop,Social,102.0,0,0.0
U014526,2026-02-18,Treatment,Desktop,Paid,139.0,0,0.0
U004010,2026-02-06,Treatment,Desktop,Direct,87.1,0,0.0
U007404,2026-02-10,Control,Desktop,Paid,124.4,0,0.0
U003094,2026-02-05,Treatment,Mobile,Organic,104.5,0,0.0
U001692,2026-02-03,Control,Mobile,Paid,122.7,0,0.0
U024539,2026-03-02,Treatment,Mobile,Organic,96.4,0,0.0
U000367,2026-02-02,Control,Mobile,Paid,73.5,0,0.0
U021308,2026-02-27,Treatment,Tablet,Paid,56.6,0,0.0
U017875,2026-02-23,Treatment,Mobile,Paid,82.2,1,71.61
U024619,2026-03-02,Treatment,Mobile,Social,85.4,0,0.0
U000593,2026-02-02,Control,Desktop,Organic,136.3,0,0.0
U011551,2026-02-15,Control,Desktop,Social,107.6,0,0.0
U008569,2026-02-12,Control,Tablet,Organic,144.6,0,0.0
U013897,2026-02-18,Treatment,Desktop,Direct,92.8,0,0.0
U005199,2026-02-08,Control,Desktop,Organic,135.4,0,0.0
U001463,2026-02-03,Treatment,Mobile,Direct,136.7,1,75.11
U019278,2026-02-24,Control,Mobile,Direct,152.4,0,0.0
U000302,2026-02-02,Treatment,Mobile,Paid,115.7,0,0.0
U016768,2026-02-21,Treatment,Tablet,Organic,107.3,0,0.0
U023881,2026-03-01,Control,Desktop,Paid,143.7,0,0.0
U024320,2026-03-02,Treatment,Mobile,Email,113.7,0,0.0
U016003,2026-02-20,Control,Mobile,Organic,113.9,0,0.0
U013253,2026-02-17,Control,Desktop,Organic,105.5,0,0.0
U009184,2026-02-12,Treatment,Mobile,Social,74.6,0,0.0
U006000,2026-02-09,Control,Desktop,Social,122.6,0,0.0
U009987,2026-02-13,Control,Desktop,Organic,108.8,0,0.0
U005335,2026-02-08,Control,Mobile,Direct,153.6,0,0.0
U002726,2026-02-05,Control,Mobile,Social,147.9,0,0.0
U004864,2026-02-07,Control,Mobile,Organic,137.7,0,0.0
U018812,2026-02-24,Control,Mobile,Paid,108.5,0,0.0
U000555,2026-02-02,Treatment,Mobile,Organic,87.0,0,0.0
U021741,2026-02-27,Treatment,Mobile,Social,158.4,0,0.0
U016720,2026-02-21,Control,Mobile,Organic,134.1,0,0.0
U007764,2026-02-11,Control,Desktop,Organic,107.4,0,0.0
U000286,2026-02-02,Control,Mobile,Organic,97.9,0,0.0
U006336,2026-02-09,Treatment,Mobile,Organic,89.6,0,0.0
U014378,2026-02-18,Treatment,Mobile,Organic,93.6,0,0.0
U009334,2026-02-12,Treatment,Mobile,Organic,116.0,0,0.0
U013865,2026-02-18,Control,Mobile,Direct,109.2,0,0.0
U012586,2026-02-16,Treatment,Desktop,Direct,84.6,0,0.0
U002358,2026-02-04,Treatment,Mobile,Paid,144.0,0,0.0
U015339,2026-02-19,Control,Desktop,Direct,108.8,0,0.0
U018846,2026-02-24,Control,Desktop,Organic,143.5,0,0.0
U004277,2026-02-07,Control,Mobile,Email,77.0,0,0.0
U020717,2026-02-26,Control,Desktop,Organic,66.7,1,67.94
U000404,2026-02-02,Treatment,Desktop,Organic,179.3,0,0.0
U002535,2026-02-05,Control,Mobile,Direct,177.4,0,0.0
U001716,2026-02-03,Treatment,Mobile,Social,74.8,0,0.0
U019447,2026-02-24,Treatment,Tablet,Paid,125.3,0,0.0
U011372,2026-02-15,Treatment,Desktop,Social,107.6,0,0.0
U003886,2026-02-06,Treatment,Mobile,Paid,82.1,0,0.0
U016693,2026-02-21,Control,Desktop,Paid,166.2,1,49.54
U020266,2026-02-25,Control,Desktop,Organic,101.1,0,0.0
U003854,2026-02-06,Treatment,Tablet,Paid,111.9,0,0.0
U008025,2026-02-11,Treatment,Mobile,Paid,118.6,0,0.0
U013753,2026-02-18,Treatment,Desktop,Organic,89.4,0,0.0
U006575,2026-02-09,Control,Mobile,Social,76.4,0,0.0
U010738,2026-02-14,Treatment,Mobile,Direct,69.4,0,0.0
U016935,2026-02-21,Treatment,Mobile,Paid,37.8,0,0.0
U022457,2026-02-28,Treatment,Desktop,Direct,63.8,0,0.0
U019220,2026-02-24,Control,Desktop,Social,100.3,0,0.0
U016076,2026-02-20,Control,Desktop,Social,120.0,0,0.0
U012285,2026-02-16,Treatment,Desktop,Organic,75.6,0,0.0
U004905,2026-02-07,Treatment,Mobile,Social,67.0,0,0.0
U007428,2026-02-10,Treatment,Mobile,Organic,113.8,0,0.0
U019489,2026-02-24,Control,Mobile,Social,127.5,0,0.0
U023185,2026-03-01,Control,Mobile,Paid,105.9,0,0.0
U023406,2026-03-01,Control,Desktop,Organic,98.3,0,0.0
U002328,2026-02-04,Control,Mobile,Direct,105.3,0,0.0
U017362,2026-02-22,Control,Mobile,Direct,81.9,0,0.0
U003616,2026-02-06,Treatment,Mobile,Paid,105.3,0,0.0
U021538,2026-02-27,Control,Mobile,Direct,153.1,0,0.0
U017175,2026-02-22,Control,Mobile,Organic,103.1,0,0.0
U011588,2026-02-15,Control,Mobile,Paid,167.3,0,0.0
U010344,2026-02-14,Treatment,Tablet,Organic,91.1,1,62.29
U015423,2026-02-20,Treatment,Mobile,Social,102.7,0,0.0
U006361,2026-02-09,Treatment,Desktop,Direct,156.8,0,0.0
U001100,2026-02-03,Treatment,Mobile,Paid,34.3,0,0.0
U023268,2026-03-01,Control,Mobile,Organic,107.8,0,0.0
U021296,2026-02-26,Treatment,Desktop,Organic,65.4,0,0.0
U008788,2026-02-12,Treatment,Tablet,Social,100.4,0,0.0
U003063,2026-02-05,Treatment,Tablet,Organic,81.7,0,0.0
U006478,2026-02-09,Control,Desktop,Direct,55.2,0,0.0
U022402,2026-02-28,Treatment,Tablet,Paid,123.9,0,0.0
U006341,2026-02-09,Control,Mobile,Social,113.6,0,0.0
U015743,2026-02-20,Control,Desktop,Social,74.6,0,0.0
U000379,2026-02-02,Treatment,Desktop,Social,74.4,1,71.73
U003389,2026-02-06,Control,Desktop,Paid,122.7,0,0.0
U012940,2026-02-17,Treatment,Mobile,Social,112.1,0,0.0
U018021,2026-02-23,Control,Tablet,Organic,99.7,0,0.0
U018878,2026-02-24,Control,Desktop,Direct,60.9,0,0.0
U017130,2026-02-22,Control,Desktop,Paid,77.0,0,0.0
U001283,2026-02-03,Control,Desktop,Paid,109.0,0,0.0
U000770,2026-02-02,Treatment,Tablet,Organic,116.0,1,71.41
U007255,2026-02-10,Treatment,Mobile,Social,61.2,0,0.0
U012324,2026-02-16,Control,Mobile,Social,72.3,0,0.0
U008760,2026-02-12,Treatment,Mobile,Paid,79.8,1,46.43
U019698,2026-02-25,Control,Mobile,Organic,121.9,1,62.15
U023405,2026-03-01,Control,Mobile,Organic,89.2,0,0.0
U017993,2026-02-23,Control,Mobile,Direct,84.8,1,67.87
U008988,2026-02-12,Treatment,Desktop,Social,131.3,0,0.0
U010679,2026-02-14,Control,Desktop,Organic,69.5,0,0.0
U007426,2026-02-10,Control,Mobile,Paid,83.3,0,0.0
U007320,2026-02-10,Treatment,Tablet,Paid,61.6,0,0.0
U006029,2026-02-09,Treatment,Desktop,Direct,98.0,0,0.0
U013921,2026-02-18,Treatment,Desktop,Paid,117.6,0,0.0
U025431,2026-03-03,Treatment,Mobile,Paid,149.0,0,0.0
U016576,2026-02-21,Control,Mobile,Organic,104.6,0,0.0
U016356,2026-02-21,Treatment,Mobile,Direct,91.2,0,0.0
U016004,2026-02-20,Control,Mobile,Social,108.0,0,0.0
U019321,2026-02-24,Treatment,Desktop,Organic,78.9,1,45.86
U015032,2026-02-19,Treatment,Mobile,Organic,92.9,1,58.18
U015109,2026-02-19,Treatment,Desktop,Paid,100.0,0,0.0
U023917,2026-03-01,Control,Mobile,Organic,144.1,0,0.0
U006212,2026-02-09,Treatment,Mobile,Organic,126.3,0,0.0
U020811,2026-02-26,Treatment,Mobile,Direct,43.6,0,0.0
U008540,2026-02-12,Control,Desktop,Social,96.5,0,0.0
U015958,2026-02-20,Treatment,Mobile,Organic,106.2,0,0.0
U011250,2026-02-15,Control,Mobile,Direct,101.1,0,0.0
U004031,2026-02-06,Control,Mobile,Organic,155.1,0,0.0
U007065,2026-02-10,Control,Mobile,Social,80.5,0,0.0
U005795,2026-02-08,Treatment,Mobile,Organic,109.0,0,0.0
U002069,2026-02-04,Control,Desktop,Paid,114.8,0,0.0
U013171,2026-02-17,Treatment,Desktop,Organic,105.4,0,0.0
U007918,2026-02-11,Control,Desktop,Direct,90.2,0,0.0
U006604,2026-02-09,Control,Desktop,Organic,83.2,0,0.0
U025188,2026-03-03,Control,Desktop,Direct,101.5,0,0.0
U023205,2026-03-01,Treatment,Mobile,Organic,97.6,0,0.0
U017525,2026-02-22,Treatment,Mobile,Paid,84.9,0,0.0
U011224,2026-02-15,Treatment,Mobile,Direct,50.4,0,0.0
U014448,2026-02-18,Control,Desktop,Direct,100.2,0,0.0
U022604,2026-02-28,Treatment,Desktop,Paid,124.5,0,0.0
U007110,2026-02-10,Treatment,Desktop,Direct,77.0,0,0.0
U014813,2026-02-19,Control,Desktop,Organic,102.5,0,0.0
U020253,2026-02-25,Treatment,Mobile,Organic,110.5,0,0.0
U002677,2026-02-05,Control,Mobile,Email,97.3,0,0.0
U004109,2026-02-06,Control,Desktop,Organic,129.9,0,0.0
U015288,2026-02-19,Treatment,Mobile,Email,98.9,0,0.0
U005494,2026-02-08,Control,Mobile,Direct,166.8,0,0.0
U002022,2026-02-04,Control,Mobile,Direct,93.4,0,0.0
U022625,2026-02-28,Treatment,Desktop,Direct,93.6,1,68.31
U007387,2026-02-10,Control,Desktop,Paid,111.1,1,84.13
U020962,2026-02-26,Control,Desktop,Organic,145.5,0,0.0
U015320,2026-02-19,Control,Mobile,Social,141.1,0,0.0
U007741,2026-02-11,Control,Mobile,Paid,169.5,0,0.0
U020365,2026-02-25,Control,Mobile,Direct,90.9,0,0.0
U023357,2026-03-01,Treatment,Desktop,Organic,96.3,1,126.33
U004904,2026-02-07,Control,Tablet,Organic,122.7,0,0.0
U010710,2026-02-14,Control,Mobile,Paid,108.5,0,0.0
U016699,2026-02-21,Treatment,Mobile,Direct,147.5,0,0.0
U009273,2026-02-12,Control,Desktop,Direct,130.5,0,0.0
U018845,2026-02-24,Control,Mobile,Organic,56.9,0,0.0
U023887,2026-03-01,Control,Mobile,Social,92.1,0,0.0
U012526,2026-02-16,Control,Desktop,Paid,129.4,0,0.0
U017092,2026-02-22,Treatment,Mobile,Direct,72.3,0,0.0
U019349,2026-02-24,Treatment,Desktop,Organic,36.8,1,60.69
U003975,2026-02-06,Treatment,Desktop,Paid,73.7,0,0.0
U020338,2026-02-25,Control,Tablet,Paid,173.4,0,0.0
U016074,2026-02-20,Control,Desktop,Paid,164.8,0,0.0
U019869,2026-02-25,Treatment,Mobile,Direct,68.2,0,0.0
U013479,2026-02-17,Control,Tablet,Organic,83.0,0,0.0
U002796,2026-02-05,Treatment,Tablet,Organic,148.9,0,0.0
U014844,2026-02-19,Treatment,Desktop,Social,102.4,0,0.0
U007923,2026-02-11,Control,Desktop,Organic,113.0,0,0.0
U017688,2026-02-22,Control,Desktop,Direct,166.9,0,0.0
U001116,2026-02-03,Control,Desktop,Paid,122.7,0,0.0
U011411,2026-02-15,Treatment,Mobile,Paid,98.7,0,0.0
U017138,2026-02-22,Treatment,Mobile,Paid,121.8,0,0.0
U016819,2026-02-21,Treatment,Mobile,Paid,112.2,0,0.0
U006273,2026-02-09,Treatment,Desktop,Direct,60.3,0,0.0
U003311,2026-02-05,Control,Mobile,Direct,105.6,0,0.0
U009321,2026-02-12,Control,Tablet,Organic,136.4,0,0.0
U010278,2026-02-14,Control,Mobile,Social,104.3,0,0.0
U008638,2026-02-12,Control,Desktop,Social,153.8,0,0.0
U022688,2026-02-28,Treatment,Desktop,Direct,126.2,0,0.0
U003468,2026-02-06,Control,Mobile,Direct,87.5,0,0.0
U016092,2026-02-20,Control,Mobile,Direct,105.5,1,63.33
U004871,2026-02-07,Treatment,Mobile,Organic,93.3,1,108.1
U020820,2026-02-26,Treatment,Mobile,Paid,77.9,0,0.0
U009923,2026-02-13,Control,Desktop,Direct,135.9,0,0.0
U012437,2026-02-16,Control,Mobile,Paid,104.7,0,0.0
U007514,2026-02-10,Control,Desktop,Organic,132.4,0,0.0
U003674,2026-02-06,Control,Mobile,Organic,113.7,0,0.0
U024264,2026-03-02,Control,Desktop,Paid,131.5,0,0.0
U009454,2026-02-13,Control,Tablet,Organic,81.5,0,0.0
U021861,2026-02-27,Treatment,Desktop,Organic,76.3,1,46.83
U003152,2026-02-05,Treatment,Desktop,Email,139.6,0,0.0
U023242,2026-03-01,Treatment,Mobile,Paid,54.7,1,91.87
U007037,2026-02-10,Treatment,Desktop,Organic,64.4,0,0.0
U002132,2026-02-04,Control,Desktop,Email,116.0,0,0.0
U016426,2026-02-21,Treatment,Desktop,Paid,53.6,0,0.0
U003272,2026-02-05,Treatment,Mobile,Direct,96.0,0,0.0
U017309,2026-02-22,Treatment,Desktop,Organic,88.6,0,0.0
U023385,2026-03-01,Treatment,Mobile,Email,101.0,0,0.0
U005185,2026-02-08,Treatment,Mobile,Social,99.1,0,0.0
U018127,2026-02-23,Control,Desktop,Social,129.8,0,0.0
U005598,2026-02-08,Treatment,Mobile,Direct,89.8,0,0.0
U001498,2026-02-03,Treatment,Desktop,Organic,78.0,0,0.0
U024268,2026-03-02,Treatment,Desktop,Organic,67.2,0,0.0
U006237,2026-02-09,Control,Mobile,Email,76.6,0,0.0
U021582,2026-02-27,Control,Mobile,Organic,65.1,0,0.0
U009428,2026-02-13,Control,Tablet,Direct,113.7,0,0.0
U014250,2026-02-18,Treatment,Mobile,Email,107.9,0,0.0
U021739,2026-02-27,Treatment,Mobile,Social,116.7,0,0.0
U019794,2026-02-25,Control,Mobile,Paid,106.0,0,0.0
U015017,2026-02-19,Control,Mobile,Organic,58.9,0,0.0
U019958,2026-02-25,Treatment,Mobile,Social,150.5,0,0.0
U019706,2026-02-25,Control,Mobile,Organic,168.7,0,0.0
U001656,2026-02-03,Control,Mobile,Organic,150.3,0,0.0
U015539,2026-02-20,Control,Desktop,Social,103.2,0,0.0
U013609,2026-02-17,Control,Desktop,Direct,79.5,1,78.47
U008362,2026-02-11,Control,Mobile,Paid,69.0,0,0.0
U017959,2026-02-23,Treatment,Mobile,Paid,88.0,0,0.0
U009034,2026-02-12,Treatment,Desktop,Social,101.0,0,0.0
U008136,2026-02-11,Treatment,Desktop,Social,39.1,0,0.0
U003788,2026-02-06,Control,Mobile,Paid,97.5,0,0.0
U009925,2026-02-13,Treatment,Mobile,Organic,82.6,0,0.0
U011737,2026-02-15,Treatment,Mobile,Organic,52.5,0,0.0
U007022,2026-02-10,Control,Mobile,Paid,51.4,1,42.56
U023615,2026-03-01,Control,Desktop,Organic,149.6,0,0.0
U000924,2026-02-03,Treatment,Mobile,Organic,79.3,0,0.0
U009230,2026-02-12,Treatment,Desktop,Direct,142.4,0,0.0
U016872,2026-02-21,Treatment,Desktop,Paid,146.0,0,0.0
U001581,2026-02-03,Control,Desktop,Organic,125.3,0,0.0
U021034,2026-02-26,Treatment,Mobile,Organic,123.7,0,0.0
U021131,2026-02-26,Treatment,Mobile,Organic,147.4,0,0.0
U020450,2026-02-25,Control,Desktop,Organic,144.2,1,42.64
U008515,2026-02-12,Control,Mobile,Paid,105.1,0,0.0
U005324,2026-02-08,Control,Desktop,Direct,156.7,1,100.55
U000391,2026-02-02,Control,Tablet,Direct,107.4,0,0.0
U023979,2026-03-02,Treatment,Mobile,Direct,87.4,0,0.0
U003281,2026-02-05,Control,Desktop,Paid,90.7,0,0.0
U013710,2026-02-18,Treatment,Mobile,Direct,85.7,0,0.0
U019991,2026-02-25,Treatment,Mobile,Direct,74.2,0,0.0
U022233,2026-02-28,Treatment,Desktop,Paid,101.1,0,0.0
U019710,2026-02-25,Treatment,Tablet,Direct,68.1,0,0.0
U018625,2026-02-23,Control,Mobile,Organic,125.0,0,0.0
U010864,2026-02-14,Treatment,Desktop,Organic,78.1,0,0.0
U022230,2026-02-28,Treatment,Mobile,Organic,62.5,0,0.0
U004074,2026-02-06,Treatment,Mobile,Social,87.5,0,0.0
U008445,2026-02-12,Treatment,Mobile,Paid,85.0,0,0.0
U015954,2026-02-20,Control,Mobile,Organic,102.5,0,0.0
U011085,2026-02-15,Treatment,Mobile,Social,111.8,0,0.0
U005064,2026-02-08,Treatment,Desktop,Organic,124.7,0,0.0
U016828,2026-02-21,Treatment,Mobile,Social,77.8,0,0.0
U015996,2026-02-20,Treatment,Mobile,Direct,57.4,0,0.0
U015488,2026-02-20,Treatment,Desktop,Organic,136.5,0,0.0
U002482,2026-02-04,Treatment,Mobile,Direct,106.7,0,0.0
U020000,2026-02-25,Treatment,Tablet,Paid,120.1,0,0.0
U014017,2026-02-18,Control,Desktop,Paid,69.3,0,0.0
U009423,2026-02-13,Control,Mobile,Paid,94.8,1,120.76
U015736,2026-02-20,Treatment,Mobile,Paid,141.8,0,0.0
U023531,2026-03-01,Control,Desktop,Organic,148.9,0,0.0
U008226,2026-02-11,Treatment,Tablet,Social,23.3,0,0.0
U005754,2026-02-08,Control,Mobile,Email,126.8,0,0.0
U023560,2026-03-01,Control,Mobile,Organic,163.1,1,67.45
U001538,2026-02-03,Control,Mobile,Email,142.5,0,0.0
U021848,2026-02-27,Control,Mobile,Email,44.4,0,0.0
U018554,2026-02-23,Treatment,Tablet,Direct,79.9,1,54.41
U006806,2026-02-10,Control,Desktop,Organic,105.5,0,0.0
U003420,2026-02-06,Treatment,Desktop,Paid,67.5,0,0.0
U018361,2026-02-23,Treatment,Mobile,Social,82.1,0,0.0
U025146,2026-03-03,Treatment,Mobile,Organic,52.7,0,0.0
U018698,2026-02-23,Control,Desktop,Direct,112.6,0,0.0
U015473,2026-02-20,Control,Desktop,Direct,117.8,1,92.05
U001278,2026-02-03,Treatment,Mobile,Social,24.7,0,0.0
U020431,2026-02-25,Control,Desktop,Organic,119.8,0,0.0
U019420,2026-02-24,Treatment,Mobile,Direct,48.0,0,0.0
U013374,2026-02-17,Treatment,Desktop,Paid,65.2,0,0.0
U022274,2026-02-28,Control,Mobile,Organic,79.0,0,0.0
U007132,2026-02-10,Control,Mobile,Paid,152.8,0,0.0
U025334,2026-03-03,Control,Mobile,Direct,95.6,0,0.0
